,ferry,name,public_transport,latitude,longitude,id
0,yes,Gare lagunaire Aqualines du Plateau,platform,5.3158647,-4.0148847,1227889258
1,yes,Gare lagunaire Aqualines Yopougon,platform,5.3078259,-4.0374018,5390465849
2,yes,Gare Lagunaire Yopougon STL,platform,5.3109066,-4.0344058,7044975088
3,yes,Gare Lagunaire Plateau STL,platform,5.3143858,-4.0170439,7044975089
4,yes,Gare Lagunaire Treichville STL,platform,5.3135839,-4.0100701,7044975090
5,yes,Gare Lagunaire Koumassi STL,platform,5.315627,-3.952125,7046900012
6,yes,Gare Lagunaire M'pouto STL,platform,5.3240676,-3.9603245,7046900013
7,yes,Gare Lagunaire de Treichville Sotra,platform,5.3108107,-4.015859,7046964142
8,yes,Gare Lagunaire Abobo Doumé Sotra,platform,5.3107009,-4.0347196,7046964143
9,yes,Gare Lagunaire du Plateau Sotra,platform,5.3140753,-4.0176728,7047063325
10,yes,Gare lagunaire de Blockauss Sotra,platform,5.3212342,-4.0021442,7047101136
11,yes,Gare lagunaire Aqualines Treichville,platform,5.311038,-4.0153262,7079693847
12,yes,Gare lagunaire Aqualines Abatta,platform,5.3263049,-3.9211819,7079782626
