,route,nodes,id,bicycle,charge,duration,fee,foot,hgv,motor_vehicle,motorcar,horse,name,operator,ref,from,to,toll
0,ferry,"[2135521836, 2135521848, 2135521853, 2135521852]",203541509,,,,,,,,,,,,,,,
1,ferry,"[5392417583, 2682541933]",262603043,yes,200 XOF,00:15,yes,yes,no,no,no,,,,,,,
2,ferry,"[2608400470, 5281898654, 5281898655, 5281898656, 5281898657, 5281898658, 3438394646, 5204765226, 5204765227, 5204765228, 5213164346, 5204765229, 5204765230, 5204765231, 5204765233, 5204765236, 5204765240, 5204765241, 5204765242, 5204765243, 5204765244, 5204765245, 5204765222]",336759027,yes,,,yes,yes,no,no,no,no,Sotra 502 – Transport Lagunaire Treichville - Plateau - Blokaus,Société de Transport Abidjanais (SOTRA),502,,,
3,ferry,"[3501611131, 3468275452]",492426171,,,,,yes,no,no,,,Pinasse M’Pouto – Koumassi,,,,,
4,ferry,"[5096419578, 5392417584]",523502133,yes,300 XOF,,yes,yes,no,no,no,,,,,,,
5,ferry,"[5213164336, 5213164340, 5390815200, 7079693846]",538599372,,,,yes,yes,no,no,no,,Aqualines ligne A,,,,,
6,ferry,"[4852197024, 5425049466, 7044975091, 5425049465, 5425049464, 5425049471, 5425049467, 5425049468, 5425049469, 5425049474]",558895277,,,,yes,yes,no,no,no,,STL,,,,,
7,ferry,"[7046900014, 7046900017, 7046900018, 7046900019, 7046900020, 7046900021, 7046900022, 7046900023, 5143778943, 5390861370, 5390861369, 7046900024, 5390861368, 5390861367, 7046900025, 5390861366, 7046900026, 5390861365, 7982541184, 5390861364, 5390861363, 5390861362, 5390861361, 5425049474]",558895508,,,,yes,yes,,no,,,STL,,,,,
8,ferry,"[7079693846, 5213164346]",559032043,,,,yes,yes,no,no,no,,Aqualines ligne A,,,,,
9,ferry,"[2608400470, 5392870800, 5392870799, 5392870798, 5392870797, 5392870796, 5392870795, 5392870794, 5392870793, 5076847221]",559094511,yes,,,yes,yes,no,no,no,no,Sotra 501,Société de Transport Abidjanais (SOTRA),501,,,
10,ferry,"[3438394646, 5392870809, 5392870808, 5392870807, 5392870801, 5392870806, 5392870805, 5392870804, 5392870803, 5392870802, 5076847221]",559094515,yes,,,yes,yes,no,no,no,no,Sotra 503,Société de Transport Abidjanais (SOTRA),503,,,
11,ferry,"[5446611661, 7968989366, 5446611669]",565551561,yes,,,,yes,,no,,,,,,,,
12,ferry,"[5425049474, 5425049470, 5425049472, 5392870810, 5390871205, 5390871206, 5390871207, 5390871208, 5390465856]",754287285,,,,yes,yes,no,no,no,,STL,,,,,
13,ferry,"[7079693846, 7079782680, 7079782679, 8296717592, 7079782678, 7079782677, 5213164346, 8296727380, 7079782675, 7079782674, 7079782673, 7079782672, 7079782671, 7079782670, 7079782669, 7079782668, 7079782667, 7079782666, 7079782665, 7079782664, 7079782663, 7079782662, 7079782661, 7079782660, 7079782659, 7079782658, 7079782657, 7079782656, 7079782655, 7079782654, 7079782653, 7079782652, 7079782651, 7079782650, 7079782649, 7079782648, 7079782647, 7079782646, 7079782645, 7079782644, 7079782643, 7079782642, 7079782641, 7079782640, 7079782639, 7079782638, 7079782637, 7079782636, 7079782635, 7079782634, 7079782633, 7079782632, 7079782631, 7079782630, 7079782629, 7079782627]",758105104,,,,yes,yes,no,no,no,,Aqualines ligne B,,,,,
14,ferry,"[2489277836, 7166952559]",965914604,yes,,00:15,,yes,,yes,,,Bac de Eloka,,,Eloka,Grand Bassam,no
